Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
11/27/2020,ID-BE,Bengkulu,42,1,25,16,1707,74,1312,321,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,21.00,853.70,0.50,37.01,4.34%,76.86%,1.40,1.00
11/27/2020,ID-JK,DKI Jakarta,1436,15,841,580,132961,2607,121019,9335,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,132.40,12258.83,1.38,240.36,1.96%,91.02%,1.35,1.07
11/27/2020,ID-YO,Daerah Istimewa Yogyakarta,89,3,30,56,5645,140,4230,1275,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,24.51,1554.66,0.83,38.56,2.48%,74.93%,0.86,3.00
11/27/2020,ID-GO,Gorontalo,0,0,0,0,3073,88,2958,27,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,0.00,2602.80,0.00,74.54,2.86%,96.26%,0.00,1.00
11/27/2020,IDN,Indonesia,5828,169,3807,1852,522581,16521,437456,68604,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,21.98,1970.62,0.64,62.30,3.16%,83.71%,1.19,1.33
11/27/2020,ID-JA,Jambi,46,1,39,6,1820,37,1271,512,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,13.17,520.99,0.29,10.59,2.03%,69.84%,1.18,
11/27/2020,ID-JB,Jawa Barat,699,5,736,-42,51181,886,41591,8704,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,15.48,1133.29,0.11,19.62,1.73%,81.26%,0.90,1.25
11/27/2020,ID-JT,Jawa Tengah,963,51,381,531,51842,2256,37484,12102,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,26.48,1425.64,1.40,62.04,4.35%,72.30%,1.72,1.46
11/27/2020,ID-JI,Jawa Timur,428,39,359,30,60618,4314,53490,2814,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,10.57,1497.52,0.96,106.57,7.12%,88.24%,1.10,1.50
11/27/2020,ID-KB,Kalimantan Barat,29,0,63,-34,2351,22,1915,414,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,5.35,433.54,0.00,4.06,0.94%,81.45%,2.90,1.00
